iteration,cycles,instructions,cache-misses,branch-misses,page-faults,context-switches,cpu-migrations
481,126105049,179781454,217397,552588,2538,65,4
482,115883182,180019920,226526,554688,2516,66,9
483,114006628,179374509,218802,555137,2502,65,2
484,113069458,179286346,214536,549826,2491,64,2
485,114616998,179960284,215611,552229,2495,66,3
486,113418767,179433904,202917,538469,2496,64,2
487,111138931,179601647,190122,547909,2504,67,3
488,114675401,179832548,225442,551609,2498,64,4
489,114132675,179732064,210335,544215,2505,65,2
490,121420700,179452806,215320,551542,2498,63,4
491,116471549,180255558,235778,546827,2528,66,5
492,115613137,179671498,209453,537796,2499,71,3
493,112601795,179345353,220996,547367,2490,66,2
494,117803950,180212175,227774,544446,2529,64,6
495,117346215,180119170,226894,561848,2525,69,5
496,114815581,179740617,218405,544721,2501,66,2
497,116858465,179795705,213321,554840,2493,66,6
498,113155132,179443691,212190,548928,2488,62,7
499,117641365,179853222,221039,545222,2515,63,4
500,116342617,179889274,216924,553355,2528,69,6
501,113145017,179367175,220134,547700,2491,62,4
502,114109856,179965792,195261,551784,2495,70,6
503,113892234,180306795,214280,543704,2512,66,3
504,115031995,180117991,213385,555084,2525,67,2
505,117431073,180012502,224863,561156,2526,67,8
506,117878044,178904118,222770,550786,2489,63,2
507,113722464,179527858,206349,555446,2496,70,3
508,114120218,180219341,225534,560125,2495,64,5
509,122280020,179859250,223867,547514,2496,64,5
510,114863090,179305017,212243,540598,2492,64,6
511,113497535,179989048,208062,542298,2524,71,4
512,120154422,179935690,218091,559635,2496,64,5
513,114345971,179404615,211733,559160,2494,68,4
514,114792243,179776374,226017,548399,2494,63,0
515,120687190,179944243,242648,553360,2520,71,4
516,117306621,179677457,219240,544371,2494,64,2
517,116955368,179509608,220866,546273,2490,67,2
518,111727064,179598090,213873,537202,2501,65,4
519,114363392,179868105,222608,544204,2506,67,5
520,118579892,179768990,234701,548482,2496,65,3
521,112690745,180300629,239492,543259,2530,63,2
522,117981545,179921973,221319,548549,2502,66,3
523,123043837,179967257,217042,547075,2515,69,5
524,114972957,179668920,213099,545017,2494,63,4
525,116708953,179472262,204776,551073,2491,67,3
526,116997495,179590123,230326,553830,2498,65,3
527,115765357,179179390,204861,556243,2487,65,3
528,116681643,179757226,223586,535828,2502,64,7
529,120779349,179652259,212648,553724,2494,66,3
530,114097360,179911632,211036,542194,2516,62,5
531,115123127,179836670,211183,548447,2524,66,1
532,112586944,179808786,212759,543315,2499,67,1
533,113508166,179409855,213096,552264,2502,70,2
534,119942452,179987003,234444,542971,2509,66,3
535,115233193,179914680,222783,547243,2505,68,4
536,115111386,179845090,232910,543406,2520,63,3
537,114511055,179798214,208100,554429,2497,64,6
538,115307113,179401897,212626,558576,2489,65,3
539,114172408,179702121,217124,561489,2514,70,7
540,113797233,179923465,212640,545866,2500,66,2
541,119836300,179769230,213083,556189,2520,67,3
542,116040318,179724023,215054,546260,2502,62,5
543,115304976,180095418,221865,548880,2525,69,5
544,122122241,180051983,223431,553472,2509,65,8
545,114155746,179621728,220003,546180,2488,64,5
546,117934457,180043958,208646,550505,2536,64,0
547,115433566,179367595,205652,559258,2490,71,4
548,116137342,179827740,205967,547074,2498,66,4
549,119255845,179455271,214373,561496,2499,67,2
550,112786012,179557977,202872,561501,2494,64,2
551,111510447,179688103,197920,544257,2490,72,5
552,113344766,179889871,214934,540938,2511,66,3
553,114592873,180050703,204957,546613,2501,65,5
554,111243760,179737398,198997,552855,2490,70,7
555,118845953,180257396,217842,551536,2516,65,2
556,115276627,179673194,221813,551432,2494,63,4
557,112872354,179861759,210053,552460,2498,64,5
558,113978838,179864224,206422,556349,2494,66,2
559,113534343,179663540,203678,550765,2508,65,2
560,111671824,179881935,198888,556693,2493,73,2
561,111530851,180599571,197576,555579,2537,71,4
562,118017693,179973191,202125,548879,2510,71,3
563,113160490,179299957,199983,555422,2493,72,1
564,115839739,179474574,190989,547843,2496,64,1
565,114726419,179638980,218893,553060,2501,66,6
566,115054642,179554139,210720,547251,2502,65,2
567,124061844,179763588,222614,556981,2511,64,9
568,113371434,179974365,209176,552586,2503,64,6
569,112736059,179665045,215812,551548,2493,67,3
570,115735334,179400127,212985,545376,2496,64,4
571,118746086,179562080,214822,542538,2493,65,3
572,114829422,179707718,217024,546432,2501,65,1
573,113228995,179610540,200678,544606,2512,66,2
574,112682489,179770327,211946,552973,2506,70,5
575,113565129,180054365,196465,558801,2508,65,2
576,115929378,179676182,207245,544265,2511,65,8
577,114143738,179794186,209090,537365,2492,66,3
578,111604183,179710710,201792,551812,2495,65,3
579,121188652,179575981,234051,544478,2507,64,4
580,117151084,180289572,235349,559806,2508,70,11
581,115458114,179642079,227562,547015,2515,64,5
582,116702756,179969093,217476,557363,2498,70,2
583,116460600,179226046,215579,549729,2497,68,4
584,121620535,180007321,240278,568128,2542,65,8
585,117240491,180312357,234256,560644,2528,68,1
586,114089298,180131915,234938,547359,2507,68,5
587,115843388,179893583,227326,543927,2533,66,3
588,114288289,179853747,210464,542362,2494,64,3
589,116462173,179379858,214093,553494,2497,67,5
590,113903362,179961613,216216,551900,2520,69,2
591,113412917,179426185,205255,551999,2493,69,2
592,118945092,179680947,204468,556428,2497,66,8
593,109435824,179261624,205351,541256,2494,68,1
594,113296718,179858316,205992,549416,2494,70,6
595,112459567,178901786,202602,548653,2487,64,6
596,118128273,180031633,222727,544416,2525,62,8
597,120863966,179799935,237554,560331,2494,63,4
598,114957178,180240191,202251,558018,2504,71,6
